Colour.difference	background	stimuli	ind	batch	sex	variable	of	success	target.same	chick	Colour.difference.s
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
0.7	green	orange	C2	a	female	corr	23	TRUE	FALSE	aC2	-0.9191797699207136
1	green	orange	C2	a	female	corr	24	TRUE	FALSE	aC2	-0.7124903518215403
1	green	orange	C2	a	female	corr	24	TRUE	FALSE	aC2	-0.7124903518215403
