Colour difference;pcorr;corr;incorr;ind;background;sex;stimuli;batch
4.3;0.975;39;1;A1;orange;female;orange;a
4.3;0.975;39;1;A3;orange;female;orange;a
4.3;1;40;0;A4;orange;male;orange;a
4.3;1;40;0;A5;orange;male;orange;a
4.3;0.9;36;4;A12;orange;female;orange;b
4.3;0.95;38;2;A2;orange;female;orange;b
4.3;0.85;34;6;A52;orange;male;orange;b
4.3;0.95;38;2;A6;orange;male;orange;b
2.4;1;40;0;A1;orange;female;orange;a
2.4;0.975;39;1;A3;orange;female;orange;a
2.4;0.975;39;1;A4;orange;male;orange;a
2.4;1;40;0;A5;orange;male;orange;a
2.4;0.925;37;3;A12;orange;female;orange;b
2.4;0.95;38;2;A2;orange;female;orange;b
2.4;0.975;39;1;A52;orange;male;orange;b
2.4;0.825;33;7;A6;orange;male;orange;b
1.6;1;40;0;A1;orange;female;orange;a
1.6;0.95;38;2;A3;orange;female;orange;a
1.6;1;40;0;A4;orange;male;orange;a
1.6;1;40;0;A5;orange;male;orange;a
1.6;0.9;36;4;A12;orange;female;orange;b
1.6;0.975;39;1;A2;orange;female;orange;b
1.6;0.95;38;2;A52;orange;male;orange;b
1.6;0.975;39;1;A6;orange;male;orange;b
1;0.65;26;14;A1;orange;female;orange;a
1;0.625;25;15;A3;orange;female;orange;a
1;0.875;35;5;A4;orange;male;orange;a
1;0.65;26;14;A5;orange;male;orange;a
1;0.65;26;14;A12;orange;female;orange;b
1;0.725;29;11;A2;orange;female;orange;b
1;0.65;26;14;A52;orange;male;orange;b
1;0.7;28;12;A6;orange;male;orange;b
0.7;0.4;16;24;A1;orange;female;orange;a
0.7;0.575;23;17;A3;orange;female;orange;a
0.7;0.775;31;9;A4;orange;male;orange;a
0.7;0.55;22;18;A5;orange;male;orange;a
0.7;0.5;20;20;A12;orange;female;orange;b
0.7;0.475;19;21;A2;orange;female;orange;b
0.7;0.45;18;22;A52;orange;male;orange;b
0.7;0.525;21;19;A6;orange;male;orange;b
4.3;0.95;38;2;A1;green;male;orange;c
4.3;1;40;0;A3;green;female;orange;c
4.3;0.925;37;3;A4;green;male;orange;c
4.3;0.95;38;2;A5;green;female;orange;c
4.3;1;40;0;A22;green;female;orange;d
4.3;0.95;38;2;A32;green;female;orange;d
4.3;0.95;38;2;A42;green;female;orange;d
4.3;0.975;39;1;A52;green;male;orange;d
2.4;0.95;38;2;A1;green;male;orange;c
2.4;0.85;34;6;A3;green;female;orange;c
2.4;0.75;30;10;A4;green;male;orange;c
2.4;0.75;30;10;A5;green;female;orange;c
2.4;0.975;39;1;A22;green;female;orange;d
2.4;0.825;33;7;A32;green;female;orange;d
2.4;0.85;34;6;A42;green;female;orange;d
2.4;0.8;32;8;A52;green;male;orange;d
1.6;0.7;28;12;A1;green;male;orange;c
1.6;0.625;25;15;A3;green;female;orange;c
1.6;0.9;36;4;A4;green;male;orange;c
1.6;0.825;33;7;A5;green;female;orange;c
1.6;0.9;36;4;A22;green;female;orange;d
1.6;0.725;29;11;A32;green;female;orange;d
1.6;0.8;32;8;A42;green;female;orange;d
1.6;0.65;26;14;A52;green;male;orange;d
1;0.55;22;18;A1;green;male;orange;c
1;0.6;24;16;A3;green;female;orange;c
1;0.65;26;14;A4;green;male;orange;c
1;0.625;25;15;A5;green;female;orange;c
1;0.775;31;9;A22;green;female;orange;d
1;0.5;20;20;A32;green;female;orange;d
1;0.625;25;15;A42;green;female;orange;d
1;0.475;19;21;A52;green;male;orange;d
0.7;0.55;22;18;A1;green;female;orange;c
0.7;0.575;23;17;A3;green;male;orange;c
0.7;0.5;20;20;A4;green;female;orange;c
0.7;0.625;25;15;A5;green;male;orange;c
